content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
Mantap Banget Haaaanyiiiiiing 🤣 Saya Suka Saya Suka,Mantap Banget Haaaanyiiiiiing  Saya Suka Saya Suka,mantap banget haaaanyiiiiiing  saya suka saya suka,mantap banget haaaanyiiiiiing saya suka saya suka,"['mantap', 'banget', 'haaaanyiiiiiing', 'saya', 'suka', 'saya', 'suka']","['mantap', 'banget', 'haaaanyiiiiiing', 'suka', 'suka']",mantap banget haaaanyiiiiiing suka suka
Recommended,Recommended,recommended,recommended,['recommended'],['recommended'],recommended
cepat & aman,cepat   aman,cepat   aman,cepat aman,"['cepat', 'aman']","['cepat', 'aman']",cepat aman
"Traveloka is very good aplikasi tapi kenapa saya tidak bisa menggunakan Paylater Traveloka? untuk semua transportasi sangat bagus dan easy untuk booking di Traveloka tanpa ribet. 100% Rekomended and good Aplikasi 👍🏻. Next tingkatkan / upgrade aplikasinya lagi. salam, Rizal Pratama Travelers",Traveloka is very good aplikasi tapi kenapa saya tidak bisa menggunakan Paylater Traveloka  untuk semua transportasi sangat bagus dan easy untuk booking di Traveloka tanpa ribet    Rekomended and good Aplikasi   Next tingkatkan   upgrade aplikasinya lagi  salam  Rizal Pratama Travelers,traveloka is very good aplikasi tapi kenapa saya tidak bisa menggunakan paylater traveloka  untuk semua transportasi sangat bagus dan easy untuk booking di traveloka tanpa ribet    rekomended and good aplikasi   next tingkatkan   upgrade aplikasinya lagi  salam  rizal pratama travelers,traveloka is very good aplikasi tapi kenapa saya tidak bisa menggunakan paylater traveloka untuk semua transportasi sangat bagus dan easy untuk booking di traveloka tanpa ribet rekomended and good aplikasi next tingkatkan upgrade aplikasinya lagi salam rizal pratama travelers,"['traveloka', 'is', 'very', 'good', 'aplikasi', 'tapi', 'kenapa', 'saya', 'tidak', 'bisa', 'menggunakan', 'paylater', 'traveloka', 'untuk', 'semua', 'transportasi', 'sangat', 'bagus', 'dan', 'easy', 'untuk', 'booking', 'di', 'traveloka', 'tanpa', 'ribet', 'rekomended', 'and', 'good', 'aplikasi', 'next', 'tingkatkan', 'upgrade', 'aplikasinya', 'lagi', 'salam', 'rizal', 'pratama', 'travelers']","['traveloka', 'is', 'very', 'good', 'aplikasi', 'paylater', 'traveloka', 'transportasi', 'bagus', 'easy', 'booking', 'traveloka', 'ribet', 'rekomended', 'and', 'good', 'aplikasi', 'next', 'tingkatkan', 'upgrade', 'aplikasinya', 'salam', 'rizal', 'pratama', 'travelers']",traveloka is very good aplikasi paylater traveloka transportasi bagus easy booking traveloka ribet rekomended and good aplikasi next tingkat upgrade aplikasi salam rizal pratama travelers
Tiket lengkap dan mudah,Tiket lengkap dan mudah,tiket lengkap dan mudah,tiket lengkap dan mudah,"['tiket', 'lengkap', 'dan', 'mudah']","['tiket', 'lengkap', 'mudah']",tiket lengkap mudah
saya gak ad Tagihan di spaylater malah spaylater saya di blokir apa masalah nya. saya juga gak tau kasih dong penjelasannya,saya gak ad Tagihan di spaylater malah spaylater saya di blokir apa masalah nya  saya juga gak tau kasih dong penjelasannya,saya gak ad tagihan di spaylater malah spaylater saya di blokir apa masalah nya  saya juga gak tau kasih dong penjelasannya,saya tidak ada tagihan di spaylater malah spaylater saya di blokir apa masalah nya saya juga tidak tau kasih dong penjelasannya,"['saya', 'tidak', 'ada', 'tagihan', 'di', 'spaylater', 'malah', 'spaylater', 'saya', 'di', 'blokir', 'apa', 'masalah', 'nya', 'saya', 'juga', 'tidak', 'tau', 'kasih', 'dong', 'penjelasannya']","['tagihan', 'spaylater', 'spaylater', 'blokir', 'nya', 'tau', 'kasih', 'penjelasannya']",tagih spaylater spaylater blokir nya tau kasih jelas
sangat muda dan memuas,sangat muda dan memuas,sangat muda dan memuas,sangat muda dan memuas,"['sangat', 'muda', 'dan', 'memuas']","['muda', 'memuas']",muda muas
sering sering buka harga promo,sering sering buka harga promo,sering sering buka harga promo,sering sering buka harga promo,"['sering', 'sering', 'buka', 'harga', 'promo']","['buka', 'harga', 'promo']",buka harga promo
Mantap mudah cepat dan murah,Mantap mudah cepat dan murah,mantap mudah cepat dan murah,mantap mudah cepat dan murah,"['mantap', 'mudah', 'cepat', 'dan', 'murah']","['mantap', 'mudah', 'cepat', 'murah']",mantap mudah cepat murah
cukup memudahkan,cukup memudahkan,cukup memudahkan,cukup memudahkan,"['cukup', 'memudahkan']",['memudahkan'],mudah
mantaaap traveloka,mantaaap traveloka,mantaaap traveloka,mantap traveloka,"['mantap', 'traveloka']","['mantap', 'traveloka']",mantap traveloka
"bersyukur dapet limit besar dari traveloka,bisa booking hotel + beli tiket pesawat gak perlu pusing pusing lagi.cicilan bisa sampe 12 kali.. jadi nya lebih ringan.. saran saya tambahin lagi fitur untuk tiket kapal laut seperti kapal pelni yg bisa bayar pake payletter traveloka",bersyukur dapet limit besar dari traveloka bisa booking hotel   beli tiket pesawat gak perlu pusing pusing lagi cicilan bisa sampe  kali   jadi nya lebih ringan   saran saya tambahin lagi fitur untuk tiket kapal laut seperti kapal pelni yg bisa bayar pake payletter traveloka,bersyukur dapet limit besar dari traveloka bisa booking hotel   beli tiket pesawat gak perlu pusing pusing lagi cicilan bisa sampe  kali   jadi nya lebih ringan   saran saya tambahin lagi fitur untuk tiket kapal laut seperti kapal pelni yg bisa bayar pake payletter traveloka,bersyukur dapat limit besar dari traveloka bisa booking hotel beli tiket pesawat tidak perlu pusing pusing lagi cicilan bisa sampai kali jadi nya lebih ringan saran saya tambahkan lagi fitur untuk tiket kapal laut seperti kapal pelni yang bisa bayar pakai payletter traveloka,"['bersyukur', 'dapat', 'limit', 'besar', 'dari', 'traveloka', 'bisa', 'booking', 'hotel', 'beli', 'tiket', 'pesawat', 'tidak', 'perlu', 'pusing', 'pusing', 'lagi', 'cicilan', 'bisa', 'sampai', 'kali', 'jadi', 'nya', 'lebih', 'ringan', 'saran', 'saya', 'tambahkan', 'lagi', 'fitur', 'untuk', 'tiket', 'kapal', 'laut', 'seperti', 'kapal', 'pelni', 'yang', 'bisa', 'bayar', 'pakai', 'payletter', 'traveloka']","['bersyukur', 'limit', 'traveloka', 'booking', 'hotel', 'beli', 'tiket', 'pesawat', 'pusing', 'pusing', 'cicilan', 'kali', 'nya', 'ringan', 'saran', 'tambahkan', 'fitur', 'tiket', 'kapal', 'laut', 'kapal', 'pelni', 'bayar', 'pakai', 'payletter', 'traveloka']",syukur limit traveloka booking hotel beli tiket pesawat pusing pusing cicil kali nya ringan saran tambah fitur tiket kapal laut kapal pelni bayar pakai payletter traveloka
bagus membantu aktifitas,bagus membantu aktifitas,bagus membantu aktifitas,bagus membantu aktifitas,"['bagus', 'membantu', 'aktifitas']","['bagus', 'membantu', 'aktifitas']",bagus bantu aktifitas
semoga lebih baik dan selalu menjadi yang terbaik,semoga lebih baik dan selalu menjadi yang terbaik,semoga lebih baik dan selalu menjadi yang terbaik,semoga lebih baik dan selalu menjadi yang terbaik,"['semoga', 'lebih', 'baik', 'dan', 'selalu', 'menjadi', 'yang', 'terbaik']","['semoga', 'terbaik']",moga baik
terimakasih,terimakasih,terimakasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",terima kasih
"semoga ada kejelasan,disaat customer refund untuk selanjutnya",semoga ada kejelasan disaat customer refund untuk selanjutnya,semoga ada kejelasan disaat customer refund untuk selanjutnya,semoga ada kejelasan disaat customer refund untuk selanjutnya,"['semoga', 'ada', 'kejelasan', 'disaat', 'customer', 'refund', 'untuk', 'selanjutnya']","['semoga', 'kejelasan', 'disaat', 'customer', 'refund']",moga jelas saat customer refund
pengisian data ringkas dan cepat aman,pengisian data ringkas dan cepat aman,pengisian data ringkas dan cepat aman,pengisian data ringkas dan cepat aman,"['pengisian', 'data', 'ringkas', 'dan', 'cepat', 'aman']","['pengisian', 'data', 'ringkas', 'cepat', 'aman']",isi data ringkas cepat aman
treveloka sangat membantu,treveloka sangat membantu,treveloka sangat membantu,treveloka sangat membantu,"['treveloka', 'sangat', 'membantu']","['treveloka', 'membantu']",treveloka bantu
layanan sangat bagus,layanan sangat bagus,layanan sangat bagus,layanan sangat bagus,"['layanan', 'sangat', 'bagus']","['layanan', 'bagus']",layan bagus
sangat puas dan selalu cepat tanggap semoga kedepannya menjadi lebih baik lagi ☺,sangat puas dan selalu cepat tanggap semoga kedepannya menjadi lebih baik lagi ,sangat puas dan selalu cepat tanggap semoga kedepannya menjadi lebih baik lagi ,sangat puas dan selalu cepat tanggap semoga kedepannya menjadi lebih baik lagi,"['sangat', 'puas', 'dan', 'selalu', 'cepat', 'tanggap', 'semoga', 'kedepannya', 'menjadi', 'lebih', 'baik', 'lagi']","['puas', 'cepat', 'tanggap', 'semoga', 'kedepannya']",puas cepat tanggap moga depan
Sangat membantu utk kita,Sangat membantu utk kita,sangat membantu utk kita,sangat membantu untuk kita,"['sangat', 'membantu', 'untuk', 'kita']",['membantu'],bantu
sangat membantu saya,sangat membantu saya,sangat membantu saya,sangat membantu saya,"['sangat', 'membantu', 'saya']",['membantu'],bantu
tampilan huruf aplikasi terlalu kabur. sehingga susah melihat.,tampilan huruf aplikasi terlalu kabur  sehingga susah melihat ,tampilan huruf aplikasi terlalu kabur  sehingga susah melihat ,tampilan huruf aplikasi terlalu kabur sehingga susah melihat,"['tampilan', 'huruf', 'aplikasi', 'terlalu', 'kabur', 'sehingga', 'susah', 'melihat']","['tampilan', 'huruf', 'aplikasi', 'kabur', 'susah']",tampil huruf aplikasi kabur susah
Mantap,Mantap,mantap,mantap,['mantap'],['mantap'],mantap
kreen,kreen,kreen,keren,['keren'],['keren'],keren
setiap kendala dapat segera diselesaikan dengan baik dan CS nya ramah fast respon.. suka pake traveloka,setiap kendala dapat segera diselesaikan dengan baik dan CS nya ramah fast respon   suka pake traveloka,setiap kendala dapat segera diselesaikan dengan baik dan cs nya ramah fast respon   suka pake traveloka,setiap kendala dapat segera diselesaikan dengan baik dan cs nya ramah fast respon suka pakai traveloka,"['setiap', 'kendala', 'dapat', 'segera', 'diselesaikan', 'dengan', 'baik', 'dan', 'cs', 'nya', 'ramah', 'fast', 'respon', 'suka', 'pakai', 'traveloka']","['kendala', 'diselesaikan', 'cs', 'nya', 'ramah', 'fast', 'respon', 'suka', 'pakai', 'traveloka']",kendala selesai cs nya ramah fast respon suka pakai traveloka
easy for submit and process all transactions,easy for submit and process all transactions,easy for submit and process all transactions,easy for submit and process all transactions,"['easy', 'for', 'submit', 'and', 'process', 'all', 'transactions']","['easy', 'for', 'submit', 'and', 'process', 'all', 'transactions']",easy for submit and process all transactions
"layanan mantap, proses pemesanan mudah, refund gampang top deh",layanan mantap  proses pemesanan mudah  refund gampang top deh,layanan mantap  proses pemesanan mudah  refund gampang top deh,layanan mantap proses pemesanan mudah refund gampang top deh,"['layanan', 'mantap', 'proses', 'pemesanan', 'mudah', 'refund', 'gampang', 'top', 'deh']","['layanan', 'mantap', 'proses', 'pemesanan', 'mudah', 'refund', 'gampang', 'top', 'deh']",layan mantap proses mesan mudah refund gampang top deh
mudah terpercaya,mudah terpercaya,mudah terpercaya,mudah terpercaya,"['mudah', 'terpercaya']","['mudah', 'terpercaya']",mudah percaya
gila bgt udah dilunasi eh tiba2 limit gabisa digunakan lagi.tau gitu mending galbay .percuma menyediakan tpaylatter,gila bgt udah dilunasi eh tiba limit gabisa digunakan lagi tau gitu mending galbay  percuma menyediakan tpaylatter,gila bgt udah dilunasi eh tiba limit gabisa digunakan lagi tau gitu mending galbay  percuma menyediakan tpaylatter,gila banget sudah dilunasi eh tiba limit tidak bisa digunakan lagi tau begitu mending galbay percuma menyediakan tpaylatter,"['gila', 'banget', 'sudah', 'dilunasi', 'eh', 'tiba', 'limit', 'tidak', 'bisa', 'digunakan', 'lagi', 'tau', 'begitu', 'mending', 'galbay', 'percuma', 'menyediakan', 'tpaylatter']","['gila', 'banget', 'dilunasi', 'eh', 'limit', 'tau', 'mending', 'galbay', 'menyediakan', 'tpaylatter']",gila banget lunas eh limit tau mending galbay sedia tpaylatter
mantap 👍🤲,mantap ,mantap ,mantap,['mantap'],['mantap'],mantap
Aneh cek harga tiket di hp saya sama di hp istri beda harga. lucu aplicasix,Aneh cek harga tiket di hp saya sama di hp istri beda harga  lucu aplicasix,aneh cek harga tiket di hp saya sama di hp istri beda harga  lucu aplicasix,aneh cek harga tiket di hp saya sama di hp istri beda harga lucu aplicasix,"['aneh', 'cek', 'harga', 'tiket', 'di', 'hp', 'saya', 'sama', 'di', 'hp', 'istri', 'beda', 'harga', 'lucu', 'aplicasix']","['aneh', 'cek', 'harga', 'tiket', 'hp', 'hp', 'istri', 'beda', 'harga', 'lucu', 'aplicasix']",aneh cek harga tiket hp hp istri beda harga lucu aplicasix
pelayanan sangat baik dan cepat the best traveloka Indonesia,pelayanan sangat baik dan cepat the best traveloka Indonesia,pelayanan sangat baik dan cepat the best traveloka indonesia,pelayanan sangat baik dan cepat the best traveloka indonesia,"['pelayanan', 'sangat', 'baik', 'dan', 'cepat', 'the', 'best', 'traveloka', 'indonesia']","['pelayanan', 'cepat', 'the', 'best', 'traveloka', 'indonesia']",layan cepat the best traveloka indonesia
lebih mudah dan sangat membantu,lebih mudah dan sangat membantu,lebih mudah dan sangat membantu,lebih mudah dan sangat membantu,"['lebih', 'mudah', 'dan', 'sangat', 'membantu']","['mudah', 'membantu']",mudah bantu
"over all bagus dan sangat membantu. Satu saja permintaan kami, kembalikan layanan pilih kursi mandiri saat check in maskapai, seperti dulu kala. traveloka the best",over all bagus dan sangat membantu  Satu saja permintaan kami  kembalikan layanan pilih kursi mandiri saat check in maskapai  seperti dulu kala  traveloka the best,over all bagus dan sangat membantu  satu saja permintaan kami  kembalikan layanan pilih kursi mandiri saat check in maskapai  seperti dulu kala  traveloka the best,over all bagus dan sangat membantu satu saja permintaan kami kembalikan layanan pilih kursi mandiri saat check ini maskapai seperti dulu kala traveloka the best,"['over', 'all', 'bagus', 'dan', 'sangat', 'membantu', 'satu', 'saja', 'permintaan', 'kami', 'kembalikan', 'layanan', 'pilih', 'kursi', 'mandiri', 'saat', 'check', 'ini', 'maskapai', 'seperti', 'dulu', 'kala', 'traveloka', 'the', 'best']","['over', 'all', 'bagus', 'membantu', 'permintaan', 'kembalikan', 'layanan', 'pilih', 'kursi', 'mandiri', 'check', 'maskapai', 'traveloka', 'the', 'best']",over all bagus bantu minta kembali layan pilih kursi mandiri check maskapai traveloka the best
muda,muda,muda,muda,['muda'],['muda'],muda
pemesanan tiket cepat,pemesanan tiket cepat,pemesanan tiket cepat,pemesanan tiket cepat,"['pemesanan', 'tiket', 'cepat']","['pemesanan', 'tiket', 'cepat']",mesan tiket cepat
mantaaap,mantaaap,mantaaap,mantap,['mantap'],['mantap'],mantap
nice aja,nice aja,nice aja,nice saja,"['nice', 'saja']",['nice'],nice
lambat membalas,lambat membalas,lambat membalas,lambat membalas,"['lambat', 'membalas']","['lambat', 'membalas']",lambat balas
jarang promo,jarang promo,jarang promo,jarang promo,"['jarang', 'promo']","['jarang', 'promo']",jarang promo
ternyata gw ga bisa reschedule dr aplikasinya. ga bisa d room yg sama. aneh. malah ada room kecil. udh gw klik pun malah error. lu maunya apasi ? dr hotel nya malah bisa. . kan yg penting gw bayar dan ga murah. banyak ngatur.,ternyata gw ga bisa reschedule dr aplikasinya  ga bisa d room yg sama  aneh  malah ada room kecil  udh gw klik pun malah error  lu maunya apasi   dr hotel nya malah bisa    kan yg penting gw bayar dan ga murah  banyak ngatur ,ternyata gw ga bisa reschedule dr aplikasinya  ga bisa d room yg sama  aneh  malah ada room kecil  udh gw klik pun malah error  lu maunya apasi   dr hotel nya malah bisa    kan yg penting gw bayar dan ga murah  banyak ngatur ,ternyata saya tidak bisa reschedule dari aplikasinya tidak bisa di room yang sama aneh malah ada room kecil sudah saya klik pun malah error kamu maunya apasi dari hotel nya malah bisa kan yang penting saya bayar dan tidak murah banyak mengatur,"['ternyata', 'saya', 'tidak', 'bisa', 'reschedule', 'dari', 'aplikasinya', 'tidak', 'bisa', 'di', 'room', 'yang', 'sama', 'aneh', 'malah', 'ada', 'room', 'kecil', 'sudah', 'saya', 'klik', 'pun', 'malah', 'error', 'kamu', 'maunya', 'apasi', 'dari', 'hotel', 'nya', 'malah', 'bisa', 'kan', 'yang', 'penting', 'saya', 'bayar', 'dan', 'tidak', 'murah', 'banyak', 'mengatur']","['reschedule', 'aplikasinya', 'room', 'aneh', 'room', 'klik', 'error', 'maunya', 'apasi', 'hotel', 'nya', 'bayar', 'murah', 'mengatur']",reschedule aplikasi room aneh room klik error mau apas hotel nya bayar murah atur
bagus dan cepat pokoknya mantap,bagus dan cepat pokoknya mantap,bagus dan cepat pokoknya mantap,bagus dan cepat pokoknya mantap,"['bagus', 'dan', 'cepat', 'pokoknya', 'mantap']","['bagus', 'cepat', 'pokoknya', 'mantap']",bagus cepat pokok mantap
"Aplikasi jelek, tidak bisa refund bila Salah beli, Dimana tanggal yg di beli tidal sesuai, lalu beli secara debit maka hasilnya tidak bisa refund, hati hati.",Aplikasi jelek  tidak bisa refund bila Salah beli  Dimana tanggal yg di beli tidal sesuai  lalu beli secara debit maka hasilnya tidak bisa refund  hati hati ,aplikasi jelek  tidak bisa refund bila salah beli  dimana tanggal yg di beli tidal sesuai  lalu beli secara debit maka hasilnya tidak bisa refund  hati hati ,aplikasi jelek tidak bisa refund bila salah beli dimana tanggal yang di beli tidal sesuai lalu beli secara debit maka hasilnya tidak bisa refund hati hati,"['aplikasi', 'jelek', 'tidak', 'bisa', 'refund', 'bila', 'salah', 'beli', 'dimana', 'tanggal', 'yang', 'di', 'beli', 'tidal', 'sesuai', 'lalu', 'beli', 'secara', 'debit', 'maka', 'hasilnya', 'tidak', 'bisa', 'refund', 'hati', 'hati']","['aplikasi', 'jelek', 'refund', 'salah', 'beli', 'dimana', 'tanggal', 'beli', 'tidal', 'sesuai', 'beli', 'debit', 'hasilnya', 'refund', 'hati', 'hati']",aplikasi jelek refund salah beli mana tanggal beli tidal sesuai beli debit hasil refund hati hati
Pesan lewat traveloka karena trust malah dialihkan untuk memesan hotel yang dinaungi OYO. akhirnya kebeneran bermasalah dan merema tidak mau tau. kacau,Pesan lewat traveloka karena trust malah dialihkan untuk memesan hotel yang dinaungi OYO  akhirnya kebeneran bermasalah dan merema tidak mau tau  kacau,pesan lewat traveloka karena trust malah dialihkan untuk memesan hotel yang dinaungi oyo  akhirnya kebeneran bermasalah dan merema tidak mau tau  kacau,pesan lewat traveloka karena trust malah dialihkan untuk memesan hotel yang dinaungi oyo akhirnya kebenaran bermasalah dan mereka tidak mau tau kacau,"['pesan', 'lewat', 'traveloka', 'karena', 'trust', 'malah', 'dialihkan', 'untuk', 'memesan', 'hotel', 'yang', 'dinaungi', 'oyo', 'akhirnya', 'kebenaran', 'bermasalah', 'dan', 'mereka', 'tidak', 'mau', 'tau', 'kacau']","['pesan', 'traveloka', 'trust', 'dialihkan', 'memesan', 'hotel', 'dinaungi', 'oyo', 'kebenaran', 'bermasalah', 'tau', 'kacau']",pesan traveloka trust alih mes hotel naung oyo benar masalah tau kacau
